Lemma,Sense,SuperSense,POS_Tag,Definition,Examples,Head,Amod/Comp,Gender
urban_v,urban_v.n.01,noun.person,n,French pope from 1362 to 1370 who tried to reestablish the papacy in Rome but in 1367 returned to Avignon hoping to end the war between France and England; canonized in 1870 (1310-1370),[],pope,,PPN
urban_vi,urban_vi.n.01,noun.person,n,Italian pope from 1378 to 1389 whose contested election began the Great Schism; he alienated his political allies by his ruthless treatment of his opponents (1318-1389),[],began,,PPN
urban_viii,urban_viii.n.01,noun.person,n,Italian pope from 1623 to 1644 who sanctioned the condemnation of Galileo but later freed him (1568-1644),[],pope,,PPN
urchin,urchin.n.01,noun.person,n,poor and often mischievous city child,[],poor,,
urd,urd.n.01,noun.person,n,goddess of fate: a giantess who personified the past,[],goddess,,F
urey,urey.n.01,noun.person,n,United States chemist who discovered deuterium (1893-1981),[],chemist,,PPN
uriah,uriah.n.01,noun.person,n,(Old Testament) the husband of Bathsheba and a soldier who was sent to die in battle so that king David could marry his wife (circa 10th century BC),[],Testament,,PPN
urinator,pisser.n.01,noun.person,n,a person who urinates,[],person,,N
urologist,urologist.n.01,noun.person,n,a specialist in urology,[],specialist,,
urth,urd.n.01,noun.person,n,goddess of fate: a giantess who personified the past,[],goddess,,F
us_attorney_general,attorney_general.n.02,noun.person,n,the person who holds the position of secretary of the Justice Department,"['Edmund Randolph was the first Attorney General, appointed by President Washington']",person,,N
usama_bin_laden,bin_laden.n.01,noun.person,n,Arab terrorist who established al-Qaeda (born in 1957),[],terrorist,,PPN
usbeg,uzbek.n.01,noun.person,n,a member of a Turkic people of Uzbekistan and neighboring areas,[],member,,N
usbek,uzbek.n.01,noun.person,n,a member of a Turkic people of Uzbekistan and neighboring areas,[],member,,N
user,user.n.01,noun.person,n,a person who makes use of a thing; someone who uses or employs something,[],person,,N
user,exploiter.n.01,noun.person,n,a person who uses something or someone selfishly or unethically,[],person,,N
user,drug_user.n.01,noun.person,n,a person who takes drugs,[],person,,N
ushas,ushas.n.01,noun.person,n,Hindu goddess of dawn; daughter of the sky and sister of the night,[],goddess,,F
usher,ussher.n.01,noun.person,n,Irish prelate who deduced from the Bible that Creation occurred in the year 4004 BC (1581-1656),[],prelate,,PPN
usher,usher.n.02,noun.person,n,an official stationed at the entrance of a courtroom or legislative chamber,[],stationed,,
usher,usher.n.03,noun.person,n,someone employed to conduct others,[],someone,,N
usherette,usherette.n.01,noun.person,n,a female usher,[],usher,female,F
